Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-12-17,Subscriptions,Online,Internet service provider bill,483.23,12.26
2023-12-27,Groceries,Online,monthly metro pass renewal,111.23,4.43
2023-12-16,Subscriptions,Cash,Online course purchase on unacademy,341.84,13.4
2023-12-08,Subscriptions,Online,Household essentials purchase,195.12,17.47
2023-12-08,Bills,Online,Household essentials purchase,53.26,14.05
2023-12-14,Food,Online,Fuel refill at Gas Station Name,222.08,19.8
2023-12-09,Bills,Online,Cloud storage subscription payment,30.31,15.38
2023-12-26,Subscriptions,Cash,Online course purchase on unacademy,252.1,1.35
2023-12-18,Subscriptions,Cash,Fuel refill at Gas Station Name,369.42,6.9
2023-12-02,Subscriptions,Online,Cloud storage subscription payment,372.05,14.13
2023-12-18,Personal,Online,Streaming service subscription renewal,47.76,9.47
2023-12-26,Transportation,Online,Fuel refill at Gas Station Name,358.38,5.18
2023-12-20,Bills,Online,Household essentials purchase,166.93,5.86
2023-12-23,Personal,Cash,Monthly health insurance premium,31.05,3.82
2023-12-13,Bills,Online,Accessories shopping,364.8,9.97
2023-12-17,Groceries,Cash,Monthly health insurance premium,297.12,4.27
2023-12-18,Bills,Cash,Online course purchase on unacademy,234.09,13.18
2023-12-29,Bills,Cash,Mobile recharge,113.76,12.22
2023-12-01,Groceries,Cash,Taxi fare for office,411.16,7.92
2023-12-06,Groceries,Cash,Monthly health insurance premium,457.45,17.8
2023-12-18,Personal,Online,Online course purchase on unacademy,73.98,12.36
2023-12-06,Personal,Cash,Fuel refill at Gas Station Name,291.0,17.86
2023-12-05,Groceries,Cash,Cloud storage subscription payment,249.56,8.93
2023-12-13,Personal,Cash,Amusement park entry fee,492.67,2.82
2023-12-22,Transportation,Cash,Household essentials purchase,364.52,3.54
2023-12-18,Bills,Online,Amusement park entry fee,174.73,17.76
2023-12-15,Bills,Online,Vegetables and fruits from local market,27.52,16.74
2023-12-18,Personal,Online,Accessories shopping,84.84,18.49
2023-12-07,Subscriptions,Online,Internet service provider bill,60.32,3.78
2023-12-02,Subscriptions,Cash,Streaming service subscription renewal,411.63,15.13
2023-12-17,Subscriptions,Cash,Internet service provider bill,223.15,9.85
2023-12-30,Food,Cash,Taxi fare for office,361.6,17.18
2023-12-25,Personal,Online,Taxi fare for office,279.82,11.31
2023-12-19,Food,Online,Accessories shopping,381.75,17.7
2023-12-03,Subscriptions,Cash,Internet service provider bill,484.29,10.79
2023-12-29,Transportation,Cash,Household essentials purchase,103.23,17.46
2023-12-17,Subscriptions,Cash,Online course purchase on unacademy,394.63,10.61
2023-12-22,Groceries,Cash,Amusement park entry fee,236.21,15.12
2023-12-08,Transportation,Cash,Household essentials purchase,307.29,13.08
2023-12-15,Subscriptions,Cash,Streaming service subscription renewal,234.27,14.48
2023-12-07,Subscriptions,Online,Amusement park entry fee,390.85,11.66
2023-12-07,Transportation,Online,Streaming service subscription renewal,435.57,12.83
2023-12-23,Groceries,Cash,monthly metro pass renewal,401.95,13.0
2023-12-13,Subscriptions,Cash,monthly metro pass renewal,196.79,7.05
