Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-07-01,Utilities,Online,Internet Service,1832.13,132.37
2023-07-01,Entertainment,Online,Streaming Equipment,4709.3,432.9
2023-07-01,Health & Fitness,Online,Nutritional Supplements,1586.43,33.76
2023-07-02,Travel,Cash,Local Transportation,687.71,67.87
2023-07-02,Housing,Online,Utilities Included,1199.88,6.13
2023-07-02,Entertainment,Online,Video Games,4648.56,386.73
2023-07-02,Transportation,Online,Car Insurance,1647.09,45.57
2023-07-02,Clothing,Online,Children's Apparel,875.2,38.13
2023-07-03,Utilities,Cash,Maintenance Fees,1526.19,5.84
2023-07-03,Housing,Online,Utilities Included,1664.35,151.37
2023-07-03,Dining Out,Online,Coffee Shop Visit,279.14,11.91
2023-07-04,Transportation,Online,Car Insurance,1275.83,14.75
2023-07-04,Entertainment,Online,Theater Performances,1961.52,53.55
2023-07-04,Entertainment,Cash,Board Games,844.86,49.98
2023-07-04,Clothing,Online,Athletic Wear,2308.64,211.88
2023-07-05,Transportation,Cash,Public Transit Pass,1223.83,1.98
2023-07-05,Health & Fitness,Online,Medical Consultations,812.1,79.32
2023-07-05,Housing,Cash,Home Repairs,8147.18,272.29
2023-07-05,Utilities,Cash,Maintenance Fees,668.29,50.12
2023-07-06,Utilities,Online,Cable TV Subscription,677.17,36.3
2023-07-06,Dining Out,Cash,Coffee Shop Visit,128.63,8.03
2023-07-07,Dining Out,Online,Street Food,449.83,28.97
2023-07-07,Entertainment,Online,Art Supplies,581.67,30.08
2023-07-07,Dining Out,Cash,Fast Food Meal,207.54,4.09
2023-07-07,Clothing,Online,Footwear,2467.2,183.51
2023-07-07,Entertainment,Online,Books And E-Books,699.71,11.4
2023-07-07,Dining Out,Cash,Dinner At A Restaurant,1158.5,50.92
2023-07-08,Utilities,Online,Sewer Charges,862.41,5.62
2023-07-08,Travel,Cash,Car Rentals,1648.63,153.66
2023-07-08,Entertainment,Cash,Theater Performances,861.28,66.64
2023-07-09,Entertainment,Online,Hobby Supplies,465.51,40.88
2023-07-09,Utilities,Cash,Waste Disposal Fees,421.33,32.15
2023-07-09,Transportation,Cash,Vehicle Registration Fees,1660.81,67.03
2023-07-09,Groceries,Cash,Meat And Fish,3529.41,51.65
2023-07-09,Clothing,Online,Fashion Accessories,590.65,43.03
2023-07-09,Dining Out,Online,Coffee Shop Visit,206.59,14.02
2023-07-10,Health & Fitness,Online,Health Screenings,1129.46,6.59
