Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-06-08,Subscriptions,Cash,Mobile recharge,291.63,12.45
2023-06-10,Bills,Cash,Taxi fare for office,104.41,5.93
2023-06-15,Transportation,Cash,Vegetables and fruits from local market,298.85,14.3
2023-06-25,Bills,Online,Cloud storage subscription payment,351.54,17.14
2023-06-21,Personal,Online,Monthly gym membership fee,247.55,2.21
2023-06-29,Personal,Cash,Fuel refill at Gas Station Name,490.97,8.64
2023-06-19,Personal,Online,Accessories shopping,229.41,13.7
2023-06-08,Food,Online,Accessories shopping,50.83,17.15
2023-06-01,Subscriptions,Cash,Monthly gym membership fee,476.1,0.42
2023-06-19,Subscriptions,Online,Monthly health insurance premium,111.8,3.64
2023-06-14,Transportation,Online,Cloud storage subscription payment,247.65,18.32
2023-06-10,Transportation,Cash,Taxi fare for office,16.54,3.67
2023-06-02,Bills,Cash,Accessories shopping,339.93,0.38
2023-06-16,Groceries,Cash,Fuel refill at Gas Station Name,479.36,11.32
2023-06-10,Personal,Online,Amusement park entry fee,143.68,16.63
2023-06-10,Food,Cash,Internet service provider bill,203.9,12.05
2023-06-09,Personal,Cash,Household essentials purchase,222.19,13.42
2023-06-03,Personal,Cash,Monthly gym membership fee,199.11,6.9
2023-06-16,Bills,Online,Cloud storage subscription payment,432.51,5.35
2023-06-20,Personal,Cash,Household essentials purchase,177.32,7.72
2023-06-03,Groceries,Cash,Cloud storage subscription payment,406.01,11.31
2023-06-04,Subscriptions,Online,Streaming service subscription renewal,461.83,18.6
2023-06-05,Food,Online,Online course purchase on unacademy,44.4,1.97
2023-06-26,Personal,Cash,Monthly health insurance premium,290.7,18.66
2023-06-19,Subscriptions,Online,Amusement park entry fee,84.81,12.11
2023-06-28,Subscriptions,Cash,Amusement park entry fee,314.39,10.32
2023-06-29,Bills,Online,Monthly gym membership fee,109.76,7.72
2023-06-25,Subscriptions,Online,monthly metro pass renewal,149.64,14.1
2023-06-19,Food,Cash,Taxi fare for office,413.99,2.35
2023-06-12,Bills,Cash,Household essentials purchase,113.43,14.12
2023-06-16,Transportation,Online,Monthly health insurance premium,274.7,10.48
2023-06-19,Bills,Online,Accessories shopping,467.25,6.55
2023-06-22,Transportation,Cash,monthly metro pass renewal,82.03,5.23
2023-06-15,Personal,Cash,Household essentials purchase,127.73,14.36
2023-06-22,Food,Online,Cloud storage subscription payment,170.35,1.79
2023-06-19,Bills,Online,Household essentials purchase,138.52,6.25
2023-06-06,Transportation,Cash,Fuel refill at Gas Station Name,482.08,7.15
2023-06-07,Subscriptions,Cash,Accessories shopping,238.32,12.18
2023-06-14,Subscriptions,Online,Amusement park entry fee,453.54,2.25
2023-06-17,Bills,Online,Accessories shopping,175.58,9.48
2023-06-01,Subscriptions,Cash,Household essentials purchase,407.12,14.36
2023-06-18,Bills,Cash,Monthly gym membership fee,89.7,18.13
2023-06-05,Personal,Online,Amusement park entry fee,137.43,2.23
2023-06-10,Groceries,Cash,Vegetables and fruits from local market,156.13,0.04
2023-06-13,Subscriptions,Online,Internet service provider bill,86.41,2.23
2023-06-02,Subscriptions,Online,Streaming service subscription renewal,412.97,11.48
2023-06-24,Bills,Online,Monthly gym membership fee,184.34,5.12
2023-06-18,Food,Cash,Online course purchase on unacademy,156.77,6.52
2023-06-22,Bills,Cash,Streaming service subscription renewal,253.09,13.64
2023-06-24,Groceries,Online,Taxi fare for office,82.13,5.74
