Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-04-26,Food,Online,Streaming service subscription renewal,301.21,18.92
2023-04-29,Food,Cash,Accessories shopping,325.73,4.81
2023-04-01,Food,Cash,Amusement park entry fee,14.41,17.95
2023-04-12,Transportation,Cash,Streaming service subscription renewal,395.67,3.91
2023-04-19,Food,Online,monthly metro pass renewal,441.07,7.15
2023-04-24,Subscriptions,Cash,Monthly gym membership fee,199.28,19.62
2023-04-03,Personal,Online,Accessories shopping,303.95,14.37
2023-04-18,Food,Online,Fuel refill at Gas Station Name,86.72,19.55
2023-04-21,Subscriptions,Cash,Household essentials purchase,93.29,19.88
2023-04-02,Transportation,Online,Accessories shopping,212.63,12.19
2023-04-24,Subscriptions,Cash,Online course purchase on unacademy,343.18,8.42
2023-04-09,Food,Cash,monthly metro pass renewal,472.64,18.25
2023-04-27,Transportation,Online,Online course purchase on unacademy,412.95,5.14
2023-04-22,Transportation,Online,Fuel refill at Gas Station Name,481.23,6.74
2023-04-05,Transportation,Online,Internet service provider bill,399.01,10.44
2023-04-11,Groceries,Cash,Vegetables and fruits from local market,170.02,14.2
2023-04-24,Personal,Online,Household essentials purchase,282.81,19.13
2023-04-08,Bills,Online,Accessories shopping,126.43,10.23
2023-04-21,Subscriptions,Cash,Monthly gym membership fee,34.56,11.26
2023-04-25,Personal,Cash,Accessories shopping,58.91,14.07
2023-04-22,Transportation,Cash,Amusement park entry fee,432.55,16.82
2023-04-17,Food,Online,Monthly health insurance premium,80.58,13.37
2023-04-16,Transportation,Cash,Taxi fare for office,190.86,9.36
2023-04-01,Transportation,Cash,Monthly health insurance premium,330.36,16.46
2023-04-27,Bills,Cash,Online course purchase on unacademy,427.59,11.56
2023-04-06,Food,Online,Streaming service subscription renewal,222.67,15.24
2023-04-16,Bills,Online,Amusement park entry fee,495.44,3.25
2023-04-08,Bills,Cash,Vegetables and fruits from local market,195.84,16.21
2023-04-02,Bills,Online,Amusement park entry fee,337.81,6.73
2023-04-07,Bills,Cash,Cloud storage subscription payment,247.13,15.11
2023-04-22,Personal,Cash,Vegetables and fruits from local market,244.08,1.98
2023-04-15,Food,Online,Fuel refill at Gas Station Name,262.79,9.81
2023-04-08,Subscriptions,Online,Fuel refill at Gas Station Name,324.42,3.26
2023-04-20,Transportation,Online,Amusement park entry fee,378.68,7.5
2023-04-09,Transportation,Cash,Online course purchase on unacademy,95.51,18.72
2023-04-16,Bills,Online,Fuel refill at Gas Station Name,450.83,2.41
2023-04-07,Bills,Online,Accessories shopping,457.94,5.07
2023-04-26,Groceries,Cash,Monthly health insurance premium,226.04,7.63
2023-04-23,Food,Online,Vegetables and fruits from local market,322.29,19.07
2023-04-11,Groceries,Online,Taxi fare for office,370.89,11.73
2023-04-21,Food,Cash,monthly metro pass renewal,453.1,9.54
2023-04-04,Food,Cash,Online course purchase on unacademy,351.12,6.82
2023-04-25,Groceries,Cash,Fuel refill at Gas Station Name,349.79,15.65
2023-04-01,Personal,Online,Accessories shopping,130.48,13.94
2023-04-07,Bills,Cash,Internet service provider bill,174.22,5.4
2023-04-15,Food,Online,Taxi fare for office,488.31,6.67
2023-04-14,Subscriptions,Cash,Vegetables and fruits from local market,450.52,0.78
2023-04-07,Food,Online,Streaming service subscription renewal,316.96,0.44
2023-04-17,Personal,Online,Internet service provider bill,25.11,12.8
2023-04-02,Transportation,Cash,Monthly health insurance premium,422.66,10.21
2023-04-27,Groceries,Cash,Taxi fare for office,350.06,13.04
