Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-08-13,Personal,Online,Cloud storage subscription payment,312.36,0.78
2023-08-22,Subscriptions,Online,Fuel refill at Gas Station Name,428.21,1.16
2023-08-24,Personal,Online,Online course purchase on unacademy,366.7,15.15
2023-08-20,Food,Cash,Online course purchase on unacademy,131.29,6.35
2023-08-29,Groceries,Cash,Monthly health insurance premium,205.35,19.46
2023-08-24,Subscriptions,Cash,Monthly health insurance premium,249.19,0.81
2023-08-24,Groceries,Online,Fuel refill at Gas Station Name,54.34,0.19
2023-08-13,Groceries,Online,Monthly gym membership fee,38.63,18.23
2023-08-04,Personal,Cash,Fuel refill at Gas Station Name,221.99,1.11
2023-08-30,Subscriptions,Online,Accessories shopping,326.51,1.09
2023-08-05,Personal,Online,Mobile recharge,85.68,5.87
2023-08-17,Groceries,Online,Vegetables and fruits from local market,136.05,16.87
2023-08-13,Bills,Online,Fuel refill at Gas Station Name,189.23,5.74
2023-08-09,Subscriptions,Cash,Streaming service subscription renewal,332.24,6.42
2023-08-26,Personal,Cash,Cloud storage subscription payment,374.56,9.99
2023-08-21,Food,Cash,Vegetables and fruits from local market,274.97,16.54
2023-08-15,Subscriptions,Cash,Streaming service subscription renewal,279.51,19.78
2023-08-29,Bills,Online,Internet service provider bill,182.1,0.22
2023-08-30,Transportation,Cash,Internet service provider bill,479.39,13.53
2023-08-18,Groceries,Online,Online course purchase on unacademy,137.73,15.27
2023-08-13,Subscriptions,Online,Accessories shopping,100.15,18.67
2023-08-06,Food,Cash,Fuel refill at Gas Station Name,132.16,11.4
2023-08-08,Bills,Online,Mobile recharge,137.48,5.85
2023-08-13,Food,Cash,Taxi fare for office,36.02,6.48
2023-08-01,Food,Online,monthly metro pass renewal,97.69,17.88
2023-08-14,Food,Cash,Household essentials purchase,330.48,7.56
2023-08-07,Groceries,Cash,Mobile recharge,326.72,19.43
2023-08-24,Personal,Cash,Vegetables and fruits from local market,420.5,1.34
2023-08-14,Food,Cash,Cloud storage subscription payment,385.32,1.16
2023-08-25,Personal,Online,Amusement park entry fee,126.21,5.21
2023-08-17,Personal,Cash,Monthly health insurance premium,148.13,2.18
2023-08-15,Groceries,Online,Accessories shopping,175.36,5.78
