Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-02-21,Food,Online,Fuel refill at Gas Station Name,143.16,0.44
2023-02-02,Personal,Cash,Household essentials purchase,15.51,5.43
2023-02-24,Personal,Cash,Streaming service subscription renewal,375.85,19.07
2023-02-20,Personal,Online,Taxi fare for office,156.31,8.67
2023-02-12,Transportation,Cash,Household essentials purchase,102.29,11.44
2023-02-17,Food,Online,monthly metro pass renewal,478.47,8.65
2023-02-25,Transportation,Online,Online course purchase on unacademy,47.33,13.42
2023-02-21,Personal,Online,Taxi fare for office,60.15,19.7
2023-02-26,Subscriptions,Online,monthly metro pass renewal,403.64,13.1
2023-02-22,Food,Cash,Online course purchase on unacademy,360.36,18.95
2023-02-05,Bills,Cash,Amusement park entry fee,321.65,13.08
2023-02-01,Food,Cash,monthly metro pass renewal,360.07,14.85
2023-02-25,Personal,Online,Internet service provider bill,182.35,9.98
2023-02-03,Subscriptions,Cash,Mobile recharge,297.2,0.56
2023-02-13,Transportation,Cash,Vegetables and fruits from local market,312.81,3.29
2023-02-06,Bills,Online,Monthly gym membership fee,432.6,11.42
2023-02-21,Subscriptions,Cash,Amusement park entry fee,469.39,16.9
2023-02-16,Transportation,Cash,Vegetables and fruits from local market,150.6,10.49
2023-02-26,Food,Online,Vegetables and fruits from local market,463.17,18.38
2023-02-12,Personal,Online,Fuel refill at Gas Station Name,430.63,11.85
2023-02-17,Personal,Cash,Monthly gym membership fee,232.95,18.21
2023-02-08,Personal,Cash,Taxi fare for office,438.55,9.18
2023-02-13,Food,Cash,Amusement park entry fee,447.28,7.77
2023-02-25,Groceries,Cash,Monthly health insurance premium,414.98,1.78
2023-02-13,Groceries,Cash,Monthly health insurance premium,150.71,19.43
2023-02-21,Groceries,Online,Taxi fare for office,169.75,4.32
2023-02-25,Personal,Online,Online course purchase on unacademy,407.3,15.45
2023-02-21,Personal,Cash,Monthly health insurance premium,156.23,2.04
2023-02-01,Transportation,Online,Household essentials purchase,178.07,8.54
2023-02-15,Food,Cash,Mobile recharge,417.16,14.81
2023-02-13,Groceries,Online,Mobile recharge,421.06,1.0
2023-02-01,Groceries,Online,Vegetables and fruits from local market,355.4,10.72
2023-02-06,Groceries,Cash,Streaming service subscription renewal,406.16,6.39
2023-02-15,Groceries,Online,Monthly gym membership fee,350.98,0.29
2023-02-15,Groceries,Online,Online course purchase on unacademy,409.37,9.7
2023-02-01,Personal,Online,Accessories shopping,211.31,5.82
2023-02-19,Bills,Cash,Taxi fare for office,421.87,5.77
2023-02-25,Subscriptions,Online,Amusement park entry fee,352.4,8.99
2023-02-27,Personal,Cash,Amusement park entry fee,323.64,7.2
2023-02-13,Transportation,Online,Monthly health insurance premium,90.8,11.27
2023-02-13,Personal,Cash,Online course purchase on unacademy,26.5,6.43
2023-02-15,Groceries,Cash,Accessories shopping,207.67,10.83
2023-02-09,Transportation,Online,Cloud storage subscription payment,400.74,10.83
2023-02-25,Food,Cash,Fuel refill at Gas Station Name,323.35,2.32
2023-02-09,Transportation,Online,Cloud storage subscription payment,473.13,5.02
2023-02-17,Personal,Online,Monthly health insurance premium,367.98,14.94
