Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-06-01,Transportation,Online,Bicycle Repairs,258.79,17.83
2023-06-01,Subscriptions,Cash,Audiobook Services,567.77,21.1
2023-06-01,Clothing,Cash,Footwear,1889.97,118.67
2023-06-02,Housing,Online,Home Insurance,1572.36,126.97
2023-06-02,Transportation,Cash,Parking Fees,611.32,3.58
2023-06-02,Subscriptions,Cash,Cloud Storage Services,276.57,0.44
2023-06-02,Subscriptions,Online,News Websites Subscription,896.85,45.97
2023-06-02,Subscriptions,Cash,Streaming Services,659.57,22.21
2023-06-03,Dining Out,Online,Street Food,399.58,31.68
2023-06-03,Dining Out,Cash,Coffee Shop Visit,439.48,26.98
2023-06-04,Housing,Online,Furnishings,18449.73,1564.97
2023-06-04,Groceries,Cash,Snacks And Beverages,1418.19,26.58
2023-06-05,Housing,Online,Home Security System,3976.86,147.17
2023-06-05,Subscriptions,Online,Software Licenses,1881.81,23.07
2023-06-06,Transportation,Online,Fuel Costs,5720.81,350.99
2023-06-06,Dining Out,Cash,Coffee Shop Visit,412.38,40.1
2023-06-07,Utilities,Online,Water Bill,258.68,12.84
2023-06-07,Entertainment,Online,Books And E-Books,743.28,3.98
2023-06-07,Utilities,Online,Water Bill,257.1,8.02
2023-06-07,Dining Out,Cash,Dinner At A Restaurant,1051.88,50.94
2023-06-08,Housing,Cash,Home Security System,3700.3,330.13
2023-06-09,Utilities,Online,Maintenance Fees,743.76,40.84
2023-06-09,Transportation,Cash,Toll Charges,271.71,19.84
2023-06-09,Housing,Cash,Home Repairs,5985.95,426.96
2023-06-09,Entertainment,Online,Board Games,1580.37,71.49
2023-06-09,Dining Out,Cash,Coffee Shop Visit,274.2,18.76
2023-06-10,Housing,Online,Property Taxes,1969.98,42.1
2023-06-10,Dining Out,Online,Special Occasion Dinner,1151.51,26.1
2023-06-10,Utilities,Cash,Electricity Bill,2163.79,167.08
2023-06-10,Subscriptions,Cash,Gym Membership,1691.08,123.42
2023-06-10,Transportation,Cash,Vehicle Registration Fees,1337.24,1.46
2023-06-11,Utilities,Online,Water Bill,634.44,9.11
2023-06-12,Travel,Online,Tour Activities,2730.95,196.23
2023-06-12,Clothing,Online,Work Attire,1092.72,100.88
2023-06-12,Travel,Cash,Local Transportation,783.95,27.18
2023-06-12,Dining Out,Online,Coffee Shop Visit,460.28,29.78
2023-06-13,Health & Fitness,Cash,Gym Membership,884.11,31.16
2023-06-13,Entertainment,Online,Art Supplies,1329.86,51.75
