Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-10-24,Food,Cash,Mobile recharge,208.71,0.36
2023-10-13,Subscriptions,Online,monthly metro pass renewal,412.64,19.68
2023-10-04,Personal,Cash,Amusement park entry fee,405.25,4.38
2023-10-24,Transportation,Cash,Vegetables and fruits from local market,129.87,6.4
2023-10-29,Subscriptions,Cash,Online course purchase on unacademy,266.07,13.84
2023-10-29,Personal,Cash,Amusement park entry fee,73.1,14.38
2023-10-07,Food,Online,Monthly gym membership fee,137.27,12.01
2023-10-24,Personal,Online,Monthly gym membership fee,217.26,0.61
2023-10-04,Food,Cash,Cloud storage subscription payment,306.68,8.95
2023-10-29,Food,Online,Online course purchase on unacademy,239.11,11.91
2023-10-09,Groceries,Online,Taxi fare for office,263.49,13.48
2023-10-29,Food,Cash,Household essentials purchase,357.0,18.01
2023-10-29,Transportation,Online,Vegetables and fruits from local market,89.04,2.56
2023-10-28,Subscriptions,Cash,Fuel refill at Gas Station Name,15.82,0.39
2023-10-13,Groceries,Cash,monthly metro pass renewal,485.88,0.6
2023-10-13,Personal,Online,monthly metro pass renewal,358.33,7.47
2023-10-08,Personal,Online,Taxi fare for office,476.32,3.34
2023-10-13,Subscriptions,Cash,Amusement park entry fee,303.26,4.97
2023-10-24,Transportation,Online,Streaming service subscription renewal,324.06,12.9
2023-10-24,Subscriptions,Online,Online course purchase on unacademy,198.18,10.72
2023-10-05,Food,Cash,Household essentials purchase,161.48,11.57
2023-10-19,Personal,Cash,Online course purchase on unacademy,142.67,13.73
2023-10-11,Personal,Online,Taxi fare for office,173.12,3.25
2023-10-05,Groceries,Online,Household essentials purchase,45.3,2.46
2023-10-09,Bills,Online,Streaming service subscription renewal,206.61,0.1
2023-10-02,Personal,Online,Mobile recharge,316.12,18.92
2023-10-29,Subscriptions,Online,Mobile recharge,312.74,19.01
2023-10-12,Groceries,Cash,Household essentials purchase,57.32,0.08
2023-10-16,Subscriptions,Online,Vegetables and fruits from local market,401.44,4.18
2023-10-13,Transportation,Cash,Monthly health insurance premium,280.3,19.6
2023-10-21,Transportation,Cash,Mobile recharge,172.97,17.72
2023-10-27,Personal,Online,Monthly gym membership fee,92.08,11.09
2023-10-23,Food,Online,Online course purchase on unacademy,103.23,5.86
2023-10-28,Bills,Online,monthly metro pass renewal,446.19,2.31
2023-10-16,Subscriptions,Cash,Mobile recharge,245.1,14.73
2023-10-26,Subscriptions,Cash,Taxi fare for office,171.02,2.1
2023-10-09,Personal,Online,Fuel refill at Gas Station Name,71.49,12.74
2023-10-04,Transportation,Online,Mobile recharge,53.7,2.98
2023-10-30,Personal,Cash,Amusement park entry fee,163.49,14.76
2023-10-28,Transportation,Online,Internet service provider bill,297.47,18.06
2023-10-14,Transportation,Online,Streaming service subscription renewal,66.94,14.9
2023-10-11,Bills,Cash,Internet service provider bill,271.08,9.85
2023-10-03,Personal,Online,Monthly gym membership fee,118.58,16.74
2023-10-14,Groceries,Online,Accessories shopping,60.94,8.93
2023-10-30,Food,Cash,monthly metro pass renewal,419.95,5.32
2023-10-08,Personal,Online,Online course purchase on unacademy,221.35,19.4
2023-10-24,Groceries,Cash,Monthly health insurance premium,35.67,4.86
2023-10-16,Subscriptions,Online,Online course purchase on unacademy,24.06,17.4
2023-10-07,Food,Cash,Monthly gym membership fee,68.91,5.41
2023-10-09,Subscriptions,Cash,Monthly health insurance premium,354.3,2.06
2023-10-01,Subscriptions,Cash,Internet service provider bill,498.16,0.02
2023-10-28,Transportation,Online,Cloud storage subscription payment,218.96,16.55
2023-10-17,Subscriptions,Online,Monthly gym membership fee,215.73,11.99
2023-10-11,Personal,Online,Household essentials purchase,284.96,7.15
2023-10-11,Transportation,Cash,Fuel refill at Gas Station Name,432.37,13.11
2023-10-01,Groceries,Cash,monthly metro pass renewal,409.99,11.61
2023-10-04,Bills,Online,Vegetables and fruits from local market,236.39,3.92
2023-10-04,Groceries,Online,Fuel refill at Gas Station Name,52.55,17.77
2023-10-09,Transportation,Cash,Household essentials purchase,67.65,6.61
2023-10-26,Personal,Online,Household essentials purchase,444.54,11.45
2023-10-27,Food,Online,Vegetables and fruits from local market,340.76,7.32
2023-10-12,Food,Online,Vegetables and fruits from local market,285.69,4.09
2023-10-05,Food,Cash,monthly metro pass renewal,252.82,9.5
2023-10-06,Groceries,Online,Fuel refill at Gas Station Name,257.88,18.27
2023-10-03,Bills,Cash,Online course purchase on unacademy,163.1,13.1
2023-10-19,Bills,Online,Accessories shopping,410.66,4.74
2023-10-02,Personal,Cash,Monthly gym membership fee,450.96,3.16
2023-10-24,Personal,Online,Fuel refill at Gas Station Name,299.73,7.79
2023-10-25,Subscriptions,Cash,Fuel refill at Gas Station Name,446.65,4.23
2023-10-29,Bills,Online,Accessories shopping,458.9,10.58
2023-10-20,Food,Online,Mobile recharge,463.06,18.15
2023-10-03,Personal,Cash,Monthly health insurance premium,116.24,18.55
2023-10-10,Bills,Online,Internet service provider bill,14.51,10.8
2023-10-03,Bills,Online,Internet service provider bill,301.83,5.85
2023-10-22,Transportation,Cash,Streaming service subscription renewal,368.91,8.91
2023-10-18,Transportation,Online,Taxi fare for office,69.04,16.69
2023-10-02,Transportation,Cash,Fuel refill at Gas Station Name,136.3,0.29
2023-10-17,Bills,Cash,Taxi fare for office,328.95,12.49
2023-10-18,Groceries,Online,monthly metro pass renewal,350.67,0.56
2023-10-04,Groceries,Online,monthly metro pass renewal,151.04,19.37
2023-10-24,Groceries,Cash,Household essentials purchase,194.06,8.3
2023-10-04,Groceries,Online,Monthly gym membership fee,275.97,15.38
2023-10-17,Transportation,Online,Online course purchase on unacademy,376.24,6.93
2023-10-06,Personal,Online,Cloud storage subscription payment,449.2,14.7
2023-10-12,Bills,Online,Accessories shopping,452.31,17.45
2023-10-29,Subscriptions,Cash,Amusement park entry fee,271.55,6.48
2023-10-29,Subscriptions,Online,monthly metro pass renewal,454.26,16.29
2023-10-17,Transportation,Online,Internet service provider bill,437.78,6.28
2023-10-21,Personal,Cash,Fuel refill at Gas Station Name,121.68,5.72
2023-10-14,Groceries,Online,Accessories shopping,430.47,17.56
2023-10-18,Food,Online,Mobile recharge,343.42,12.26
2023-10-28,Food,Online,Household essentials purchase,458.62,9.5
2023-10-26,Personal,Online,Accessories shopping,278.49,9.92
2023-10-13,Food,Online,Amusement park entry fee,165.78,13.79
2023-10-07,Subscriptions,Online,Monthly gym membership fee,302.85,8.78
2023-10-30,Transportation,Cash,Household essentials purchase,261.24,3.35
2023-10-17,Food,Online,Household essentials purchase,116.89,2.81
2023-10-25,Food,Online,monthly metro pass renewal,23.98,1.61
2023-10-18,Subscriptions,Online,Cloud storage subscription payment,369.01,7.66
2023-10-08,Transportation,Online,Monthly gym membership fee,463.2,17.24
