Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-05-03,Food,Cash,Household essentials purchase,269.32,16.9
2023-05-19,Food,Online,Internet service provider bill,123.09,2.17
2023-05-25,Transportation,Cash,Internet service provider bill,346.79,5.4
2023-05-30,Food,Cash,Mobile recharge,422.64,3.45
2023-05-27,Personal,Cash,Taxi fare for office,21.58,18.18
2023-05-28,Transportation,Online,Household essentials purchase,250.4,19.14
2023-05-02,Transportation,Online,Cloud storage subscription payment,484.75,18.06
2023-05-14,Groceries,Online,Household essentials purchase,329.95,4.78
2023-05-17,Personal,Cash,Cloud storage subscription payment,302.86,12.39
2023-05-24,Groceries,Online,Household essentials purchase,215.09,1.89
2023-05-29,Personal,Cash,Accessories shopping,293.71,8.77
2023-05-09,Food,Online,Taxi fare for office,488.07,18.16
2023-05-17,Bills,Cash,Internet service provider bill,194.57,8.56
2023-05-28,Food,Online,Streaming service subscription renewal,165.66,7.91
2023-05-23,Personal,Cash,Online course purchase on unacademy,372.93,6.41
2023-05-17,Transportation,Cash,Streaming service subscription renewal,314.82,6.14
2023-05-21,Transportation,Online,Online course purchase on unacademy,125.34,6.19
2023-05-29,Personal,Cash,Monthly health insurance premium,258.39,5.21
2023-05-09,Transportation,Online,Online course purchase on unacademy,132.35,11.0
2023-05-13,Food,Cash,Fuel refill at Gas Station Name,251.79,1.65
2023-05-10,Personal,Online,Streaming service subscription renewal,387.51,0.28
2023-05-18,Subscriptions,Cash,Amusement park entry fee,411.6,7.67
2023-05-21,Transportation,Cash,Monthly health insurance premium,55.48,17.35
2023-05-25,Food,Online,Fuel refill at Gas Station Name,434.09,15.05
2023-05-26,Personal,Cash,monthly metro pass renewal,257.82,1.64
2023-05-17,Bills,Online,Monthly health insurance premium,241.8,7.79
2023-05-18,Groceries,Online,Accessories shopping,421.26,19.02
2023-05-02,Transportation,Online,Monthly health insurance premium,81.87,4.87
2023-05-27,Personal,Online,Amusement park entry fee,399.3,1.86
2023-05-24,Personal,Cash,Fuel refill at Gas Station Name,295.53,11.36
2023-05-22,Subscriptions,Cash,Online course purchase on unacademy,85.01,12.03
2023-05-28,Bills,Cash,Taxi fare for office,374.29,15.28
2023-05-23,Groceries,Cash,Household essentials purchase,258.18,13.06
2023-05-06,Personal,Online,Fuel refill at Gas Station Name,272.71,19.83
2023-05-19,Transportation,Online,Amusement park entry fee,485.52,5.33
2023-05-19,Food,Online,Amusement park entry fee,408.49,16.29
2023-05-26,Personal,Online,Mobile recharge,306.6,7.07
2023-05-29,Subscriptions,Cash,Amusement park entry fee,414.42,11.82
2023-05-26,Bills,Cash,Vegetables and fruits from local market,125.81,11.66
2023-05-26,Personal,Online,Fuel refill at Gas Station Name,307.57,15.48
2023-05-18,Transportation,Online,Monthly health insurance premium,40.53,6.45
2023-05-07,Personal,Cash,Online course purchase on unacademy,323.67,16.88
