Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-11-25,Groceries,Online,Household essentials purchase,17.35,12.37
2023-11-03,Bills,Online,monthly metro pass renewal,139.0,8.36
2023-11-27,Subscriptions,Online,Monthly health insurance premium,472.48,12.09
2023-11-10,Subscriptions,Online,Internet service provider bill,170.84,18.95
2023-11-22,Bills,Cash,Streaming service subscription renewal,397.76,2.94
2023-11-18,Transportation,Online,Streaming service subscription renewal,150.89,8.08
2023-11-20,Groceries,Online,Vegetables and fruits from local market,120.79,17.46
2023-11-02,Transportation,Online,Streaming service subscription renewal,16.85,0.25
2023-11-01,Transportation,Online,Taxi fare for office,320.94,3.02
2023-11-08,Bills,Cash,Streaming service subscription renewal,230.57,4.37
2023-11-17,Transportation,Online,Amusement park entry fee,225.19,19.28
2023-11-09,Subscriptions,Cash,Taxi fare for office,13.78,18.66
2023-11-02,Bills,Cash,Monthly gym membership fee,261.99,12.27
2023-11-12,Personal,Cash,Amusement park entry fee,308.42,16.53
2023-11-21,Groceries,Cash,Household essentials purchase,63.98,15.8
2023-11-16,Bills,Online,Cloud storage subscription payment,38.16,5.5
2023-11-27,Transportation,Online,monthly metro pass renewal,57.42,6.75
2023-11-28,Transportation,Cash,Monthly health insurance premium,356.7,7.11
2023-11-23,Transportation,Online,Accessories shopping,449.45,3.29
2023-11-09,Bills,Cash,Internet service provider bill,38.77,6.91
2023-11-17,Food,Cash,Taxi fare for office,238.36,3.16
2023-11-17,Groceries,Cash,monthly metro pass renewal,283.49,14.36
2023-11-16,Groceries,Online,monthly metro pass renewal,372.68,14.88
2023-11-21,Personal,Cash,monthly metro pass renewal,41.36,7.32
2023-11-24,Bills,Cash,Monthly health insurance premium,60.5,13.6
2023-11-01,Food,Cash,Taxi fare for office,350.11,8.75
2023-11-14,Personal,Online,Streaming service subscription renewal,148.77,19.77
2023-11-23,Bills,Cash,Monthly health insurance premium,151.58,17.16
2023-11-10,Bills,Online,Online course purchase on unacademy,161.71,12.89
2023-11-23,Subscriptions,Cash,monthly metro pass renewal,236.17,11.67
2023-11-26,Groceries,Online,Online course purchase on unacademy,255.22,6.11
2023-11-22,Bills,Online,Vegetables and fruits from local market,81.6,14.03
2023-11-01,Food,Cash,Monthly gym membership fee,274.92,6.11
2023-11-26,Personal,Online,Vegetables and fruits from local market,472.02,4.66
2023-11-09,Personal,Cash,monthly metro pass renewal,93.96,4.23
2023-11-03,Food,Online,Accessories shopping,395.17,12.21
2023-11-19,Subscriptions,Online,Online course purchase on unacademy,460.06,18.59
2023-11-29,Food,Cash,Streaming service subscription renewal,487.8,8.34
2023-11-03,Transportation,Cash,Fuel refill at Gas Station Name,23.6,12.57
2023-11-20,Food,Online,monthly metro pass renewal,145.59,19.49
2023-11-19,Subscriptions,Online,monthly metro pass renewal,404.11,6.46
2023-11-09,Transportation,Online,Internet service provider bill,455.96,10.54
2023-11-23,Food,Cash,monthly metro pass renewal,282.58,5.66
2023-11-26,Groceries,Online,Amusement park entry fee,272.39,10.53
2023-11-05,Personal,Cash,Fuel refill at Gas Station Name,361.06,8.3
2023-11-06,Transportation,Cash,monthly metro pass renewal,155.52,18.29
2023-11-02,Food,Cash,Cloud storage subscription payment,330.14,2.67
2023-11-19,Food,Cash,Taxi fare for office,316.87,11.88
2023-11-07,Transportation,Online,Internet service provider bill,240.61,18.3
2023-11-03,Personal,Online,Mobile recharge,108.72,16.69
2023-11-17,Transportation,Online,Accessories shopping,258.26,18.64
2023-11-25,Bills,Online,Cloud storage subscription payment,153.81,19.88
2023-11-05,Subscriptions,Cash,Monthly gym membership fee,375.71,3.31
2023-11-02,Personal,Cash,Cloud storage subscription payment,167.18,17.32
2023-11-19,Transportation,Cash,Household essentials purchase,435.37,3.48
2023-11-09,Subscriptions,Online,Cloud storage subscription payment,462.47,5.37
2023-11-21,Bills,Cash,Cloud storage subscription payment,74.71,13.4
2023-11-14,Groceries,Cash,Fuel refill at Gas Station Name,36.82,15.72
2023-11-25,Personal,Online,Vegetables and fruits from local market,199.26,2.68
2023-11-01,Bills,Cash,Vegetables and fruits from local market,103.13,20.0
2023-11-06,Groceries,Online,Vegetables and fruits from local market,24.54,15.82
2023-11-11,Transportation,Online,Vegetables and fruits from local market,235.07,8.17
2023-11-11,Bills,Online,Amusement park entry fee,72.78,15.15
2023-11-05,Subscriptions,Cash,Amusement park entry fee,213.11,18.48
2023-11-02,Food,Cash,Monthly health insurance premium,307.96,7.76
2023-11-24,Personal,Cash,Mobile recharge,344.57,6.19
2023-11-25,Bills,Online,Monthly gym membership fee,474.22,15.24
2023-11-06,Transportation,Cash,Fuel refill at Gas Station Name,42.36,13.75
2023-11-07,Subscriptions,Cash,Fuel refill at Gas Station Name,381.38,1.06
2023-11-22,Subscriptions,Cash,Mobile recharge,122.1,12.23
2023-11-18,Groceries,Online,Mobile recharge,41.66,17.21
2023-11-19,Bills,Online,Cloud storage subscription payment,216.58,3.85
2023-11-03,Subscriptions,Cash,Fuel refill at Gas Station Name,336.52,16.88
2023-11-10,Personal,Cash,monthly metro pass renewal,77.13,19.95
2023-11-11,Bills,Online,Mobile recharge,254.26,9.56
2023-11-04,Subscriptions,Online,Cloud storage subscription payment,169.88,11.27
2023-11-04,Transportation,Cash,Accessories shopping,308.45,10.78
2023-11-20,Transportation,Cash,Cloud storage subscription payment,77.43,13.29
2023-11-06,Transportation,Online,Cloud storage subscription payment,184.67,12.9
2023-11-08,Bills,Cash,Vegetables and fruits from local market,338.48,19.28
2023-11-10,Transportation,Cash,Vegetables and fruits from local market,200.05,11.16
2023-11-20,Transportation,Cash,Online course purchase on unacademy,145.41,2.5
2023-11-06,Food,Cash,Streaming service subscription renewal,145.28,10.04
